id,username,externalId,errorCategories,note
4557139717347670,gray.merritt2549@example.net,68930ffa-f772-41dc-a164-8a31300e6c58,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
8775037429107747,reese.eastwood7246@example.net,1d2e0890-4198-43a2-a82f-f68e6689af31,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
4702737785069155,nico.langley4689@example.net,2918d5b0-1a8b-4c41-a879-9731545e7871,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
5541332048827688,parker.abbott6904@example.net,3cf6987b-fccc-4fc6-a519-3c504b8b00f9,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
6191889496445557,avery.ashford5130@example.net,301ab8be-458f-46a1-a154-b2d3254d5686,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
9533327189816529,parker.darrow7303@example.net,bffcb299-8c9d-446d-a50d-44d859fee41e,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
6698177845977995,emerson.fairbanks3754@example.net,755f5e77-506f-4024-a3dd-33eb43ee7583,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
2542742743523869,alex.kirkland8589@example.net,a3602ca6-c3cd-4558-adf4-01e563b997de,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
1050763235288421,nico.calloway6641@example.net,a1c0acfb-38d7-4f5d-a836-b94b518dc39f,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
2203297476345794,riley.prescott9951@example.net,030830ec-cfb7-40d2-a448-ebd8f5ba6d5e,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
1673827208658500,lane.langley9619@example.net,51610145-9cfb-4753-a9c1-c3ef356b8e74,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
4050863693648131,nico.delaney1341@example.net,e5cfb53d-1a67-46ec-af4c-5166d772844f,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
4945999859062123,vaughn.fairbanks7790@example.net,9c60dcaa-962c-441c-a450-3d20c6ede264,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
4033712925959691,sawyer.abbott9934@example.net,d9523874-7e52-41ad-a9ef-8deddaeaba2c,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
2063554682206388,parker.ormsby6119@example.net,bfa393ba-94c1-45da-a327-9a64e616c454,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
3300989962138984,adrian.ellsworth8525@example.net,335a4c3a-3bce-402a-ab93-45d12b35feb0,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
9274799664982420,parker.merritt0947@example.net,b9af24c5-4a37-430d-aa98-7fedc47c515a,EXTERNAL_ID_NOT_IN_IDP,CROSS-TENANT (foreign Entra tenant). OUT OF AIM SCOPE - AIM is single-tenant only. Escalate to InfoSec for disposition.
