id,username,currentExternalId,targetExternalId,errorCategories,action
332705899477,emerson.ashford0543@example.com,,0c9b480f-d373-41c7-a3af-d40e72a7a21e,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
791006449320092,skyler.stanton7564@example.com,,f99cedc8-88b4-4a61-a296-3fc2285fc7f0,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
132966533870260,nico.jennings8608@example.com,,1f609815-6e41-431b-a1fc-868ec919a2b3,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
452155741352987,avery.ashford9913@example.com,,08991dc2-276e-4dfb-a9cd-8b1d42e444b7,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
926353052837251,kendall.ellsworth7647@example.com,,5f1cf8e4-ae0c-4885-ab19-7c54ab5c3450,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
864023563237441,kendall.pemberton4221@example.com,,dffce4a6-f7b6-4ba5-ae5f-4bd87a75ff5b,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
756372157337773,sawyer.sinclair5537@example.com,,20656c5e-9406-47f0-aec0-ed3a0ed56ff3,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
530889863747557,sawyer.eastwood0415@example.com,,4e2e98c6-4e5d-469f-a44c-f85926061386,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
237229238234077,finley.ellsworth4528@example.com,,9e5c058b-fe33-45d7-a2f3-8584c1788fb2,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
269225785154004,wren.quimby7716@example.com,,cbec6107-7385-439c-a857-c1d3cfec8be7,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
853054742592454,phoenix.oakes2189@example.com,,a47e50c2-f753-4ec1-ad44-9840e60fe651,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
415584407055501,harper.delaney7952@example.com,1a6b45f8-3db0-4aa0-acab-61e2f4ef984b,70d1e931-0e9a-481f-a7f4-d96b29297c7f,EXTERNAL_ID_NOT_IN_IDP;NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
619620811691302,vaughn.radcliffe4881@example.com,,bf4265d9-0a8c-45d9-a77e-599e05b7d16c,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
666479063051062,gray.delaney8046@example.com,,c6dab53a-a13a-4354-a511-c66b2b249852,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
461447015784855,adrian.fenwick8912@example.com,,a6e6b7ef-bcf1-4a19-a022-6a2af7f94846,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
166704915701684,casey.ashford0141@example.com,,13a71952-f3c8-4829-a471-475089701b68,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
823316521013203,bailey.kingsley6882@example.com,,3325c24a-e48f-4439-ad87-a72e7f6f08cb,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
767452060835149,alex.abbott5782@example.com,,61ef3a42-0788-49ad-a961-e532f9b95ca3,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
176374573031862,tanner.darrow7424@example.com,,776ea25f-4bc0-44a4-a3de-1c7c68ff58f3,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
801458645981069,hayden.granger6274@example.com,,b8d7e0bf-2d55-4726-acd4-bff0c310cf9e,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
144355553263313,finley.kingsley8892@example.com,,386a22f0-881f-4418-a57b-f87f56805008,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
290033838180501,quinn.oakes5336@example.com,,d2268c14-6d40-49cf-a1b8-6b1b36033ae4,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
643185262972383,hayden.ingram8863@example.com,,8a99145f-616f-4f0e-a46d-302769d4187c,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
807620068425232,oakley.radcliffe1636@example.com,1a6b45f8-3db0-4aa0-acab-61e2f4ef984b,19870676-994e-413a-ac58-c97c0fa3b842,EXTERNAL_ID_NOT_IN_IDP;NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
943672557902366,blake.fairbanks7616@example.com,,b9a4e2e0-f6bb-4e78-a64f-0d388960236c,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
490016410354302,phoenix.abbott1473@example.com,,e41f12e0-e3cf-489b-ac93-d805c5814910,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
563034847086987,reese.granger6987@example.com,,ed76fa61-7ab7-46f6-a7cd-dd1c85219f37,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
205035442033557,sawyer.merritt2952@example.com,,8a289a93-ddbe-4fa8-a4ae-3d9460e7b2d8,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
515698172840457,jordan.sinclair7130@example.com,,8d44ba94-af51-46c6-aaad-404446d703bf,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
878681211069396,logan.abbott2590@example.com,,95651f73-cd6c-44dd-ab2b-07806f9d9c67,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
640043381215766,sawyer.ellsworth4177@example.com,,a2bf7c3b-0df9-42db-ad59-a91d82e7eff0,NAME_MATCH_EXTERNAL_ID_MISMATCH,PATCH externalId -> targetExternalId via Account SCIM Users; log the call for rollback
